,CurrencyId,Tag
465,173,Mineable
466,173,PoW
467,173,Platform
468,174,Mineable
469,174,PoW
470,174,Multiple algorithms
471,175,Ethereum Ecosystem
472,175,Avalanche Ecosystem
473,175,Polygon Ecosystem
474,176,DeFi
475,176,Governance
476,176,Launchpad
477,177,Privacy
478,177,Payments
479,178,Derivatives
480,178,Coinbase Ventures Portfolio
481,179,Platform
482,180,Platform
483,180,Scaling
484,180,Smart Contracts
485,181,Mineable
486,181,PoW
487,181,Distributed Computing
488,182,DeFi
489,182,Derivatives
490,182,Oracles
491,183,Mineable
492,183,PoW
493,183,Medium of Exchange
494,184,Binance Launchpool
495,184,MVB
496,184,Spartan Group
497,185,Store Of Value
498,185,DeFi
499,185,Coinbase Ventures Portfolio
500,186,Platform
501,186,Alameda Research Portfolio
502,186,Injective Ecosystem
503,187,Everscale Ecosystem
504,188,DeFi
505,188,Payments
506,189,DPoS
507,189,Platform
508,189,Enterprise Solutions
509,190,DAG
510,190,Blake2b
511,190,Medium of Exchange
512,191,Platform
513,191,Distributed Computing
514,191,Filesharing
515,193,Marketplace
516,193,Decentralized Exchange (DEX) Token
517,193,DeFi
518,194,PoS
519,194,Platform
520,194,Cosmos Ecosystem
521,195,Platform
522,195,Enterprise Solutions
523,195,Zero Knowledge Proofs
524,196,Gaming
525,196,Ethereum Ecosystem
526,196,Metaverse
527,198,Collectibles & NFTs
528,198,Gaming
529,198,Entertainment
530,199,Media
531,199,Content Creation
532,199,Privacy
533,200,SEC Security Token
