,CurrencyId,Language
275,112,TypeScript
276,112,C
277,112,Go
278,115,Erlang
279,115,Rust
280,115,C
281,115,TypeScript
282,115,JavaScript
283,116,JavaScript
284,116,Python
285,116,Go
286,116,C
287,116,TypeScript
288,117,JavaScript
289,117,TypeScript
290,117,Solidity
291,117,Python
292,117,CSS
293,120,Python
294,120,JavaScript
295,120,C++
296,120,Scheme
297,120,Jupyter Notebook
298,121,Python
299,121,JavaScript
300,121,C++
301,121,Scheme
302,121,Jupyter Notebook
303,123,TypeScript
304,123,Rust
305,123,Go
306,123,JavaScript
307,123,Python
308,124,JavaScript
309,124,TypeScript
310,124,Solidity
311,124,Go
312,124,Python
313,125,Go
314,125,JavaScript
315,125,PHP
316,125,SCSS
317,125,Shell
318,126,Go
319,126,JavaScript
320,126,TypeScript
321,126,C++
322,126,Shell
323,128,Go
324,128,Rust
325,128,TypeScript
326,128,Shell
327,128,JavaScript
328,129,Python
329,129,TypeScript
330,129,JavaScript
331,129,Shell
332,129,CSS
333,130,TypeScript
334,130,JavaScript
335,130,Python
336,130,Solidity
337,130,HTML
338,131,JavaScript
339,131,Go
340,131,TypeScript
341,131,Shell
342,131,C
343,132,Rust
344,132,JavaScript
345,132,TypeScript
346,132,HTML
347,132,Vue
348,139,TypeScript
349,139,JavaScript
350,139,C
351,139,Go
352,139,Java
353,144,JavaScript
354,144,TypeScript
355,144,Solidity
356,145,TypeScript
357,145,JavaScript
358,145,Python
359,145,Go
360,145,Jupyter Notebook
361,146,Python
362,146,Java
363,146,Go
364,146,JavaScript
365,146,Rust
366,147,JavaScript
367,147,HTML
368,148,Go
369,148,TypeScript
370,148,JavaScript
371,148,C
372,149,TypeScript
373,149,Rust
374,149,Solidity
375,149,Go
376,149,JavaScript
377,150,TypeScript
378,150,Python
379,150,JavaScript
380,150,C
381,150,PHP
382,151,TypeScript
383,151,Go
384,151,Rust
385,151,JavaScript
386,151,Python
387,153,JavaScript
388,153,Python
389,153,TypeScript
390,153,PLpgSQL
391,153,HTML
392,154,TypeScript
393,154,JavaScript
394,154,Go
395,154,Solidity
396,154,Rust
397,155,TypeScript
398,155,JavaScript
399,155,Go
400,155,Solidity
401,155,Rust
402,160,JavaScript
403,160,Python
404,160,Go
405,160,Rust
406,160,TypeScript
407,161,TypeScript
408,161,JavaScript
409,161,Solidity
410,161,Java
411,161,Python
412,163,JavaScript
413,163,C++
414,163,TypeScript
415,163,Shell
416,163,Python
417,165,JavaScript
418,165,TypeScript
419,165,Rust
420,165,Solidity
421,165,Go
422,173,Rust
423,173,C
424,173,TypeScript
425,173,JavaScript
426,173,Ruby
427,176,JavaScript
428,176,TypeScript
429,176,Solidity
430,176,Kotlin
431,176,HTML
432,177,Rust
433,177,Python
434,177,C
435,177,TeX
436,177,HTML
437,178,TypeScript
438,178,Python
439,178,Solidity
440,178,JavaScript
441,178,C
442,180,Python
443,180,JavaScript
444,180,TypeScript
445,180,Solidity
446,180,C++
447,181,JavaScript
448,181,Shell
449,181,TypeScript
450,181,HTML
451,181,Dockerfile
452,182,TypeScript
453,182,JavaScript
454,182,Solidity
455,182,Vue
456,182,Go
457,183,JavaScript
458,183,C++
459,183,Shell
460,183,Python
461,183,Rust
462,185,Go
463,185,TypeScript
464,185,JavaScript
465,185,Python
466,185,Solidity
467,189,JavaScript
468,189,TypeScript
469,189,Assembly
470,189,Rust
471,189,CSS
472,194,TypeScript
473,194,Rust
474,194,C
475,194,Makefile
476,194,Dockerfile
477,195,Go
478,195,JavaScript
479,195,Rust
480,195,Solidity
481,195,TypeScript
482,196,Go
483,196,JavaScript
484,196,Rust
485,196,Solidity
486,196,TypeScript
487,199,JavaScript
488,199,Nim
489,199,Go
490,199,Python
491,199,Jinja
492,200,JavaScript
493,200,TypeScript
494,200,SCSS
